mode,load,0_densenet201-2,1_resnet152-16,2_vgg16-32
mps-uncap,0.8,565.9396648406982,862.9720211029053,566.511869430542
mps-uncap,0.9,1890.1176452636719,1590.6481742858887,1416.7277812957764
mps-uncap,1.0,5811.36679649353,4667.3743724823,6266.583442687988
mps-uncap,0.5,142.31371879577637,159.0096950531006,140.49768447875977
mps-uncap,0.6,176.59521102905273,246.9954490661621,144.0584659576416
mps-uncap,0.7,341.1421775817871,223.2382297515869,309.2617988586426
mps-uncap,0.1,55.495500564575195,52.2913932800293,59.28945541381836
mps-uncap,0.2,57.41524696350098,72.14808464050293,80.23262023925781
mps-uncap,0.3,65.75465202331543,99.7476577758789,65.9646987915039
mps-uncap,0.4,89.2341136932373,94.06423568725586,135.11896133422852
