mode,load,0_densenet201-2,1_resnet152-16,2_vgg16-32
mps-uncap,0.8,67.19470024108887,90.31009674072266,22.763967514038086
mps-uncap,0.9,107.99002647399902,92.07391738891602,23.15378189086914
mps-uncap,1.0,113.35504055023193,92.6980972290039,23.265361785888672
mps-uncap,0.5,29.165983200073242,27.489185333251953,21.750450134277344
mps-uncap,0.6,32.13775157928467,35.5609655380249,21.89159393310547
mps-uncap,0.7,47.48082160949707,45.86219787597656,22.19986915588379
mps-uncap,0.1,37.249088287353516,29.819965362548828,21.225452423095703
mps-uncap,0.2,26.37338638305664,23.83255958557129,21.182537078857422
mps-uncap,0.3,24.013996124267578,20.11418342590332,21.26455307006836
mps-uncap,0.4,23.555397987365723,21.67952060699463,21.35610580444336
