mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,17.243146896362305,11.194944381713867,1.6856193542480469
mps-uncap,0.9,17.110586166381836,11.41667366027832,1.703023910522461
mps-uncap,1.0,17.714977264404297,11.59048080444336,1.7197132110595703
mps-uncap,0.5,17.27771759033203,10.760307312011719,1.6884803771972656
mps-uncap,0.6,17.068147659301758,10.728120803833008,1.6872882843017578
mps-uncap,0.7,17.114639282226562,10.878324508666992,1.6911029815673828
mps-uncap,0.1,17.467498779296875,11.085271835327148,1.8858909606933594
mps-uncap,0.2,17.30823516845703,11.089086532592773,1.8107891082763672
mps-uncap,0.3,17.276525497436523,10.802268981933594,1.7533302307128906
mps-uncap,0.4,17.26841926574707,10.806798934936523,1.7032623291015625
