mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,275.6031842177718,1377.7447730569338,904.8062764505165
mps-uncap,0.9,307.96197545037165,1527.9981296428798,1015.0146819253147
mps-uncap,1.0,288.8170870552281,1701.8224689642773,1037.715431267472
mps-uncap,0.5,167.94638673481018,837.8768341255897,555.9423652238779
mps-uncap,0.6,210.21302667574597,1033.3209938673092,671.4599558807115
mps-uncap,0.7,234.63660180751492,1204.560368752632,780.0699937122574
mps-uncap,0.1,32.1799144939123,165.9078919770553,117.12458975066224
mps-uncap,0.2,66.56634441536366,346.9392969014867,224.61758138361984
mps-uncap,0.3,98.95702393167961,532.3955987005646,335.3457611911983
mps-uncap,0.4,136.79164308082247,647.8807607359115,456.2225470009042
