mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,29.816832542419444,21.383399963378903,6.949443817138671
mps-uncap,0.9,26.559796333312995,21.906471252441403,7.364015579223633
mps-uncap,1.0,30.153307914733887,20.159273147583008,6.988379955291748
mps-uncap,0.5,27.698936462402347,21.39661312103272,6.3416862487792915
mps-uncap,0.6,28.61557483673095,21.592245101928707,6.739044189453118
mps-uncap,0.7,29.149513244628906,21.728103160858147,6.859362125396723
mps-uncap,0.1,41.09653949737549,27.334957122802734,5.566742420196531
mps-uncap,0.2,32.9259729385376,21.337795257568356,5.71674108505249
mps-uncap,0.3,31.105041503906243,20.813975334167477,5.988578796386727
mps-uncap,0.4,25.295424461364753,22.683522701263428,6.32619857788086
