mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,24.14834499359131,17.87400245666504,2.9973983764648438
mps-uncap,0.9,23.511171340942383,20.654678344726562,3.2625198364257812
mps-uncap,1.0,27.3820161819458,18.906593322753906,3.368854522705078
mps-uncap,0.5,19.847631454467773,14.934539794921875,2.874135971069336
mps-uncap,0.6,20.622968673706055,15.917062759399414,2.638578414916992
mps-uncap,0.7,21.710872650146484,16.651630401611328,2.692699432373047
mps-uncap,0.1,22.85170555114746,19.551515579223633,4.022479057312012
mps-uncap,0.2,20.158052444458008,16.341209411621094,3.932356834411621
mps-uncap,0.3,19.695043563842773,15.115022659301758,3.8137435913085938
mps-uncap,0.4,19.461631774902344,15.136241912841797,3.0508041381835938
