mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,371.64293289184593,136.17093563079797,46.83135986328125
mps-uncap,0.9,816.058740615845,634.642314910888,151.4764404296875
mps-uncap,1.0,9403.28800201416,1865.862798690796,5981.943342685699
mps-uncap,0.5,59.94174003601074,44.028520584106545,9.660692214965806
mps-uncap,0.6,97.48207569122307,54.28248882293698,11.11917495727538
mps-uncap,0.7,203.7210178375245,80.86482286453206,19.959144592285053
mps-uncap,0.1,27.737150192260717,18.99664878845214,4.101855754852293
mps-uncap,0.2,27.49167442321778,23.222804069519036,6.021380424499512
mps-uncap,0.3,26.58338546752923,25.62155008316036,7.962779998779314
mps-uncap,0.4,43.19130182266254,28.344953060150146,8.404731750488288
