mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,37.24956512451172,22.831201553344727,11.621952056884766
mps-uncap,0.9,31.79311752319336,32.53531455993652,15.052556991577148
mps-uncap,1.0,39.6428108215332,28.161287307739258,13.827800750732422
mps-uncap,0.5,30.393362045288086,28.105735778808594,9.514331817626953
mps-uncap,0.6,31.21471405029297,23.604154586791992,9.104728698730469
mps-uncap,0.7,32.16409683227539,25.011777877807617,13.53907585144043
mps-uncap,0.1,42.52266883850098,28.84840965270996,10.572671890258789
mps-uncap,0.2,34.68751907348633,26.59440040588379,13.548135757446289
mps-uncap,0.3,32.80925750732422,21.966934204101562,9.35816764831543
mps-uncap,0.4,32.47976303100586,24.863481521606445,12.098550796508789
