mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,395.85225105285656,155.25964260101253,50.935277938842766
mps-uncap,0.9,840.9105157852174,655.3225517272944,155.00786781311038
mps-uncap,1.0,9430.219926834106,1884.3160152435303,5985.903508663177
mps-uncap,0.5,82.1874141693116,60.228633880615234,12.712717056274402
mps-uncap,0.6,119.89088535308832,70.19128799438475,14.469933509826657
mps-uncap,0.7,226.47990226745605,95.40231704711897,23.52595806121823
mps-uncap,0.1,46.23823165893553,36.2038516998291,8.426613807678223
mps-uncap,0.2,48.727455139160156,37.39123344421386,10.043323040008545
mps-uncap,0.3,46.38564586639397,40.240993499755795,11.670484542846708
mps-uncap,0.4,62.89784908294679,44.26978111267089,11.89560890197757
