mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,481.900691986084,255.16176223754883,77.55374908447266
mps-uncap,0.9,932.1999549865723,727.09059715271,181.84614181518555
mps-uncap,1.0,9525.472640991211,1954.7536373138428,6044.814109802246
mps-uncap,0.5,117.50030517578125,86.06219291687012,21.12555503845215
mps-uncap,0.6,142.70401000976562,108.6115837097168,27.501821517944336
mps-uncap,0.7,272.9356288909912,156.68797492980957,43.883323669433594
mps-uncap,0.1,51.009178161621094,42.00863838195801,11.705398559570312
mps-uncap,0.2,64.31961059570312,51.11074447631836,13.603448867797852
mps-uncap,0.3,57.433366775512695,46.28896713256836,19.47927474975586
mps-uncap,0.4,101.83215141296387,61.57684326171875,22.174596786499023
