mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,251.2042284011841,90.8259391784668,23.307657241821293
mps-uncap,0.9,329.9601078033448,528.2182693481445,115.76843261718751
mps-uncap,1.0,8367.976450920105,1306.7995071411135,5445.668196678162
mps-uncap,0.5,43.99604797363283,34.377098083496094,7.053041458129882
mps-uncap,0.6,62.30425834655762,44.11921501159669,8.421182632446289
mps-uncap,0.7,98.11520576477051,55.326104164123535,11.401009559631346
mps-uncap,0.1,33.20565223693848,23.251819610595707,5.277204513549805
mps-uncap,0.2,32.65566825866699,24.843931198120117,6.4612627029418945
mps-uncap,0.3,32.213449478149414,24.230599403381355,7.0194244384765625
mps-uncap,0.4,37.69481182098389,28.082060813903812,7.073640823364258
