mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,58.51733684539795,32.7906608581543,7.273435592651367
mps-uncap,0.9,97.38659858703613,193.4347152709961,35.24374961853027
mps-uncap,1.0,5179.716467857361,657.3686599731445,2824.0963220596313
mps-uncap,0.5,22.783279418945312,17.42410659790039,3.4284591674804688
mps-uncap,0.6,26.89337730407715,18.98193359375,3.5858154296875
mps-uncap,0.7,34.43574905395508,22.185564041137695,4.269123077392578
mps-uncap,0.1,28.903961181640625,19.773483276367188,4.111051559448242
mps-uncap,0.2,20.746707916259766,17.165660858154297,4.017829895019531
mps-uncap,0.3,20.563840866088867,15.937089920043945,3.936767578125
mps-uncap,0.4,21.159887313842773,16.65949821472168,3.7834644317626953
