mode,load,0_efficientnet_b6-8,1_inception_v3-32,2_squeezenet1_0-4
mps-uncap,0.8,28.40428352355957,19.449806213378906,5.206489562988282
mps-uncap,0.9,24.856996536254883,21.41404151916504,5.628395080566408
mps-uncap,1.0,29.263806343078613,19.743919372558594,5.601167678833008
mps-uncap,0.5,24.052858352661133,18.50152015686035,4.19621467590332
mps-uncap,0.6,25.292491912841797,18.87965202331543,4.468202590942383
mps-uncap,0.7,26.667499542236328,19.275903701782227,4.711961746215819
mps-uncap,0.1,32.532548904418945,20.65877914428711,4.287242889404297
mps-uncap,0.2,31.34760856628418,20.259618759155273,4.201054573059082
mps-uncap,0.3,23.290157318115234,18.836426734924316,4.172372817993164
mps-uncap,0.4,22.52507209777832,19.756078720092777,4.170417785644531
