mode,load,0_mobilenet_v3_large-32,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,1.0,18.140077590942383,30.09629249572754,13.773679733276367
mig,1.0,18.09096336364746,22.934436798095703,9.747505187988281
