mode,load,0_mobilenet_v3_large-32,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,1.0,0.000476837158203125,0.0064373016357421875,0.007152557373046875
mig,1.0,0.000476837158203125,0.004291534423828125,0.0054836273193359375
