mode,load,0_mobilenet_v3_large-32,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,1.0,3906.623289420819,213.57337503486775,1403.790484814339
mig,1.0,3090.5458810772816,257.5377587648121,1595.969845380296
