mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,54.77384090423573,351.869547367096,341.62306785583496
mps-uncap,0.9,2124.4824290275574,5417.618827819824,2063.9731979370117
mps-uncap,1.0,9654.59952831268,7683.717596530914,5987.35897064209
mps-uncap,0.5,14.731729030609122,64.67738151550287,85.18176078796395
mps-uncap,0.6,16.663389205932617,105.60741424560543,145.67599296569827
mps-uncap,0.7,114.88461494445801,337.08616495132446,215.6894254684448
mps-uncap,0.1,6.09704732894899,28.886601924896212,25.96930742263793
mps-uncap,0.2,7.493932247161867,21.925239562988274,25.793128013610804
mps-uncap,0.3,9.121809005737285,35.115108489990256,43.335466384887766
mps-uncap,0.4,12.396917343139648,77.01249122619632,53.31396341323852
