mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,2.639293670654297,17.457962036132812,21.20351791381836
mps-uncap,0.9,2.8600692749023438,18.07999610900879,22.34482765197754
mps-uncap,1.0,2.666473388671875,18.11814308166504,22.65000343322754
mps-uncap,0.5,2.623319625854492,16.99233055114746,20.903825759887695
mps-uncap,0.6,2.6264190673828125,17.052412033081055,20.705461502075195
mps-uncap,0.7,2.6311874389648438,17.184734344482422,20.92146873474121
mps-uncap,0.1,2.647876739501953,17.060279846191406,21.234512329101562
mps-uncap,0.2,2.6388168334960938,16.94345474243164,21.19135856628418
mps-uncap,0.3,2.6290416717529297,17.076969146728516,20.835161209106445
mps-uncap,0.4,2.6416778564453125,17.221689224243164,20.648717880249023
