mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,12.202739715576172,86.74418926239014,92.13411808013916
mps-uncap,0.9,1001.561164855957,1870.3664541244507,680.6502342224121
mps-uncap,1.0,4843.562483787537,3632.310628890991,2066.7576789855957
mps-uncap,0.5,4.364013671875,22.852182388305664,27.64749526977539
mps-uncap,0.6,5.204916000366211,29.91199493408203,37.203431129455566
mps-uncap,0.7,7.248401641845703,43.848395347595215,45.325279235839844
mps-uncap,0.1,4.936456680297852,20.865201950073242,23.863911628723145
mps-uncap,0.2,4.803061485290527,19.73414421081543,23.966550827026367
mps-uncap,0.3,3.4995079040527344,19.743680953979492,23.589611053466797
mps-uncap,0.4,3.911733627319336,19.909143447875977,23.454785346984863
