mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,9.193181991577148,67.76082515716553,68.59993934631348
mps-uncap,0.9,998.5425472259521,1851.279377937317,657.4075222015381
mps-uncap,1.0,4840.367674827576,3613.2383346557617,2043.6716079711914
mps-uncap,0.5,0.8550882339477539,4.847049713134766,5.541801452636719
mps-uncap,0.6,2.1131038665771484,12.037277221679688,14.94753360748291
mps-uncap,0.7,4.1435956954956055,25.19237995147705,22.290945053100586
mps-uncap,0.1,0.027418136596679688,0.04029273986816406,0.04076957702636719
mps-uncap,0.2,0.027179718017578125,0.030279159545898438,0.03266334533691406
mps-uncap,0.3,0.024080276489257812,0.028371810913085938,0.02956390380859375
mps-uncap,0.4,0.026941299438476562,0.02849102020263672,0.026941299438476562
