mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,57.80087471008295,370.5301403999329,364.29888010025024
mps-uncap,0.9,2127.562654018402,5436.462662220001,2087.468891143799
mps-uncap,1.0,9657.77813673019,7701.871082782745,6010.149216651917
mps-uncap,0.5,18.143188953399648,82.51803398132324,108.1173896789552
mps-uncap,0.6,19.622392654418945,123.97775650024398,167.37061738967907
mps-uncap,0.7,118.8916563987732,356.35418891906744,236.83351516723616
mps-uncap,0.1,10.615072250366213,48.385756015777545,48.92354488372797
mps-uncap,0.2,11.668543815612797,39.85590934753418,47.44838237762451
mps-uncap,0.3,12.809648513793931,52.33526706695559,66.68468475341801
mps-uncap,0.4,15.461578369140645,96.12710952758803,74.40856695175167
