mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,3.1380653381347656,19.984841346740723,24.34062957763672
mps-uncap,0.9,3.1404495239257812,19.729113578796387,24.013757705688477
mps-uncap,1.0,3.2841920852661137,19.13928985595703,23.599815368652344
mps-uncap,0.5,4.732847213745117,19.79684829711914,24.29962158203125
mps-uncap,0.6,3.1343460083007817,19.697952270507816,23.90587329864502
mps-uncap,0.7,3.4563541412353516,20.0728178024292,24.444198608398438
mps-uncap,0.1,5.329155921936035,30.698180198669434,35.018253326416016
mps-uncap,0.2,5.1741838455200195,21.348142623901367,25.03504753112793
mps-uncap,0.3,5.048608779907227,20.39484977722168,24.18351173400879
mps-uncap,0.4,5.030155181884766,19.398903846740723,23.541855812072754
