mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,2.9854774475097656,18.956780433654785,23.396968841552734
mps-uncap,0.9,3.020763397216797,19.048571586608887,23.4372615814209
mps-uncap,1.0,3.130197525024414,18.560290336608887,22.986412048339844
mps-uncap,0.5,2.851128578186035,17.96722412109375,22.235631942749023
mps-uncap,0.6,2.8781890869140625,18.105030059814453,22.24123477935791
mps-uncap,0.7,2.9375553131103516,18.604636192321777,22.94778823852539
mps-uncap,0.1,4.802703857421875,20.08795738220215,23.49066734313965
mps-uncap,0.2,2.9026269912719727,18.82004737854004,23.091554641723633
mps-uncap,0.3,2.786397933959961,18.353939056396484,22.261381149291992
mps-uncap,0.4,2.8722286224365234,18.05281639099121,21.819233894348145
