mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,5.513429641723633,21.193671226501465,25.61396360397339
mps-uncap,0.9,3.259420394897461,20.30421257019043,24.482030868530273
mps-uncap,1.0,3.4296965599060054,19.633665084838867,24.156055450439453
mps-uncap,0.5,5.7308101654052725,21.7597484588623,26.14912986755372
mps-uncap,0.6,5.651655197143556,21.077098846435543,25.61323642730713
mps-uncap,0.7,5.664646625518799,21.49908542633057,25.901255607604977
mps-uncap,0.1,5.8789372444152885,31.944851875305172,38.00248146057129
mps-uncap,0.2,5.795989036560059,30.55409431457519,32.1170616149902
mps-uncap,0.3,5.769271850585937,22.987883090972904,26.31192207336426
mps-uncap,0.4,5.9830474853515625,20.889794826507575,25.279383659362786
