mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,6.6127777099609375,22.251605987548828,26.9315242767334
mps-uncap,0.9,6.417512893676758,22.132396697998047,25.356531143188477
mps-uncap,1.0,8.553743362426758,21.647930145263672,24.891376495361328
mps-uncap,0.5,6.542682647705078,24.206876754760742,28.887033462524414
mps-uncap,0.6,6.706714630126953,24.224519729614258,26.99875831604004
mps-uncap,0.7,6.862640380859375,23.207664489746094,26.650190353393555
mps-uncap,0.1,7.313966751098633,33.44416618347168,39.667367935180664
mps-uncap,0.2,8.853673934936523,31.200408935546875,37.51516342163086
mps-uncap,0.3,8.046150207519531,30.394792556762695,38.88583183288574
mps-uncap,0.4,10.719776153564453,23.789167404174805,29.459714889526367
