mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,0.009298324584960938,0.012874603271484375,0.012636184692382812
mps-uncap,0.9,0.01239776611328125,0.012636184692382812,0.013589859008789062
mps-uncap,1.0,0.011444091796875,0.015735626220703125,0.017881393432617188
mps-uncap,0.5,0.008821487426757812,0.012636184692382812,0.011920928955078125
mps-uncap,0.6,0.009298324584960938,0.011920928955078125,0.012636184692382812
mps-uncap,0.7,0.009059906005859375,0.012159347534179688,0.01239776611328125
mps-uncap,0.1,0.011205673217773438,0.012874603271484375,0.013113021850585938
mps-uncap,0.2,0.011444091796875,0.012636184692382812,0.013113021850585938
mps-uncap,0.3,0.009059906005859375,0.010013580322265625,0.012159347534179688
mps-uncap,0.4,0.009298324584960938,0.01239776611328125,0.010728836059570312
