mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,77.9564380645752,457.04102516174316,406.902551651001
mps-uncap,0.9,2149.0955352783203,5554.604768753052,2150.1476764678955
mps-uncap,1.0,9805.511474609375,7870.912551879883,6149.40333366394
mps-uncap,0.5,37.513017654418945,110.25810241699219,149.03020858764648
mps-uncap,0.6,32.36508369445801,175.15802383422852,194.33331489562988
mps-uncap,0.7,169.0652370452881,412.3351573944092,279.923677444458
mps-uncap,0.1,14.750242233276367,61.742305755615234,56.57005310058594
mps-uncap,0.2,16.600608825683594,51.645517349243164,60.97722053527832
mps-uncap,0.3,22.35579490661621,86.96651458740234,101.7301082611084
mps-uncap,0.4,24.474143981933594,142.72546768188477,99.29823875427246
