mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,74.88846778869629,437.9730224609375,382.9686641693115
mps-uncap,0.9,2146.117925643921,5535.494089126587,2127.2006034851074
mps-uncap,1.0,9799.659013748169,7851.962566375732,6126.628875732422
mps-uncap,0.5,33.81037712097168,92.74411201477051,127.63738632202148
mps-uncap,0.6,29.569625854492188,157.4552059173584,171.9224452972412
mps-uncap,0.7,165.9717559814453,393.0931091308594,257.648229598999
mps-uncap,0.1,9.992122650146484,44.51918601989746,34.215688705444336
mps-uncap,0.2,12.718677520751953,30.252933502197266,39.1232967376709
mps-uncap,0.3,19.550561904907227,69.71454620361328,80.50966262817383
mps-uncap,0.4,21.43716812133789,125.04458427429199,77.09836959838867
