mode,load,0_alexnet-32,1_efficientnet_b6-2,2_efficientnet_b7-2
mps-uncap,0.8,9548.949429863986,98.03932877876989,76.75301970110583
mps-uncap,0.9,10533.55772685109,104.52300513752277,84.5097257662526
mps-uncap,1.0,10161.940211187102,107.36776437617235,86.79937470806688
mps-uncap,0.5,5936.175837818533,61.12138314573407,49.786020831604915
mps-uncap,0.6,7157.426100590984,74.52676907451318,59.25502609758603
mps-uncap,0.7,8228.794968465203,85.48579348729879,67.40392252309167
mps-uncap,0.1,1255.9475522732948,12.486379963432913,9.80387876532502
mps-uncap,0.2,2354.397871294724,24.063211720833003,17.582489991532213
mps-uncap,0.3,3668.715086211682,36.137465778947615,27.35382385328654
mps-uncap,0.4,4882.0645538908275,49.51949719801385,36.9333875627284
