mode,load,0_inception_v3-2,1_vgg11-4,2_vgg13-2
mps-uncap,0.8,117.73012824695611,930.3562998073506,488.4050769952195
mps-uncap,0.9,132.66598274315945,1081.444364286547,553.0175393784592
mps-uncap,1.0,149.11475019542252,1194.2526884964764,609.804522643218
mps-uncap,0.5,72.8038517247501,575.1794809113843,309.2803498639016
mps-uncap,0.6,90.7177694109556,701.0166078585264,360.43584807769025
mps-uncap,0.7,104.46992388146423,817.1605323780713,419.9960233697628
mps-uncap,0.1,16.039972895160343,115.23618202937483,59.76144967649004
mps-uncap,0.2,28.354054769650197,232.55274396578164,122.99133045885881
mps-uncap,0.3,43.315281425647186,356.7817846525924,176.98452733396738
mps-uncap,0.4,60.34710200962636,479.9479964966141,242.91855149608122
