mode,load,0_inception_v3-8,1_squeezenet1_1-32,2_vgg11-16
mps-uncap,0.8,36.97943687438965,18.069028854370117,14.247655868530273
mps-uncap,0.9,37.55831718444824,19.00935173034668,17.353534698486328
mps-uncap,1.0,40.72451591491699,21.94499969482422,20.126819610595703
mps-uncap,0.5,32.950639724731445,19.587039947509766,15.391111373901367
mps-uncap,0.6,34.40117835998535,19.429445266723633,15.405416488647461
mps-uncap,0.7,37.72592544555664,19.225597381591797,15.46788215637207
mps-uncap,0.1,26.479482650756836,17.64702796936035,16.918420791625977
mps-uncap,0.2,26.615381240844727,16.21389389038086,14.912605285644531
mps-uncap,0.3,29.17957305908203,17.49277114868164,15.547037124633789
mps-uncap,0.4,28.216123580932617,17.96865463256836,16.42465591430664
