mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,9.43858623504639,5.129122734069825,17.954087257385254
mig,0.6,7.58051872253418,4.974794387817383,42.55533218383789
mps-uncap,0.7,10.318231582641602,5.640125274658204,18.16883087158203
mig,0.7,7.563233375549316,4.833269119262695,42.66378879547119
mps-uncap,0.8,11.800670623779299,6.248903274536134,18.7225341796875
mig,0.8,7.567167282104492,4.838466644287109,42.897891998291016
mps-uncap,0.9,11.958551406860355,6.319284439086914,18.85514259338379
mig,0.9,7.606077194213867,4.842042922973633,43.30596923828125
mps-uncap,1.0,12.817025184631348,6.757879257202149,19.12064552307129
mig,1.0,7.582426071166992,4.479026794433594,43.41721534729004
mps-uncap,1.1,13.462996482849121,7.188463211059572,19.149112701416016
mig,1.1,7.574963569641113,4.371786117553712,43.27726364135742
mps-uncap,1.2,13.665628433227539,7.388639450073243,19.171667098999023
mig,1.2,7.573127746582031,4.390478134155273,43.25072765350342
mps-uncap,1.3,14.179706573486328,7.783365249633786,19.2166805267334
mig,1.3,7.713413238525391,4.886150360107422,43.739032745361335
