mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,23.36740493774414,14.196395874023438,25.845050811767578
mig,0.6,14.165401458740234,14.883041381835938,45.43280601501465
mps-uncap,0.7,16.72220230102539,14.259099960327148,23.257017135620117
mig,0.7,18.485546112060547,15.372753143310547,53.7567138671875
mps-uncap,0.8,18.034696578979492,14.718055725097656,22.01366424560547
mig,0.8,15.992164611816406,13.19742202758789,45.98259925842285
mps-uncap,0.9,19.781112670898438,15.012979507446289,29.302358627319336
mig,0.9,14.708757400512695,19.092559814453125,47.86109924316406
mps-uncap,1.0,17.11297035217285,14.904260635375977,23.262739181518555
mig,1.0,19.102096557617188,11.453866958618164,49.49808120727539
mps-uncap,1.1,16.65186882019043,14.3280029296875,21.99840545654297
mig,1.1,16.50547981262207,19.42157745361328,46.38242721557617
mps-uncap,1.2,17.137527465820312,13.651609420776367,29.450178146362305
mig,1.2,18.173694610595703,18.395185470581055,47.66345024108887
mps-uncap,1.3,17.62533187866211,14.078378677368164,28.646230697631836
mig,1.3,21.01588249206543,18.49055290222168,49.471139907836914
