mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,0.011920928955078125,0.011205673217773438,0.013113021850585938
mig,0.6,0.011444091796875,0.010728836059570312,0.0133514404296875
mps-uncap,0.7,0.011682510375976562,0.010967254638671875,0.012636184692382812
mig,0.7,0.012636184692382812,0.011682510375976562,0.012874603271484375
mps-uncap,0.8,0.011444091796875,0.010728836059570312,0.011444091796875
mig,0.8,0.011205673217773438,0.011205673217773438,0.012636184692382812
mps-uncap,0.9,0.011205673217773438,0.010728836059570312,0.013113021850585938
mig,0.9,0.011205673217773438,0.011205673217773438,0.0133514404296875
mps-uncap,1.0,0.013113021850585938,0.010728836059570312,0.012874603271484375
mig,1.0,0.012874603271484375,0.011920928955078125,0.014066696166992188
mps-uncap,1.1,0.013589859008789062,0.013113021850585938,0.011205673217773438
mig,1.1,0.014066696166992188,0.013589859008789062,0.017642974853515625
mps-uncap,1.2,0.01430511474609375,0.013828277587890625,0.011205673217773438
mig,1.2,0.0133514404296875,0.013113021850585938,0.0171661376953125
mps-uncap,1.3,0.017881393432617188,0.0133514404296875,0.012636184692382812
mig,1.3,0.013589859008789062,0.0133514404296875,0.025033950805664062
