mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,3.122568130493164,1.5263557434082031,11.842489242553711
mig,0.6,6.833314895629883,3.4894943237304688,40.148019790649414
mps-uncap,0.7,3.0891895294189453,1.5118122100830078,11.791467666625977
mig,0.7,6.858348846435547,3.4837722778320312,40.24243354797363
mps-uncap,0.8,3.1147003173828125,1.5568733215332031,11.858701705932617
mig,0.8,6.862163543701172,3.4842491149902344,40.31062126159668
mps-uncap,0.9,3.1294822692871094,1.6021728515625,11.900663375854492
mig,0.9,6.875038146972656,3.5228729248046875,40.44461250305176
mps-uncap,1.0,3.1440258026123047,1.5935897827148438,12.041330337524414
mig,1.0,6.908416748046875,3.657817840576172,40.52591323852539
mps-uncap,1.1,3.195047378540039,1.7232894897460938,13.893365859985352
mig,1.1,6.896257400512695,3.740072250366211,40.5268669128418
mps-uncap,1.2,3.206014633178711,1.7211437225341797,14.366626739501953
mig,1.2,6.89244270324707,3.6585330963134766,40.697336196899414
mps-uncap,1.3,9.932756423950195,1.7879009246826172,16.19434356689453
mig,1.3,6.8798065185546875,3.683805465698242,40.99011421203613
