mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,4.552721977233887,3.1298398971557617,16.023635864257812
mig,0.6,8.623838424682617,5.571484565734863,57.532310485839844
mps-uncap,0.7,5.509376525878906,3.6580562591552734,16.620516777038574
mig,0.7,11.603116989135742,6.756782531738281,65.24133682250977
mps-uncap,0.8,8.41832160949707,5.759000778198242,17.576098442077637
mig,0.8,14.802217483520508,8.366823196411133,95.19505500793457
mps-uncap,0.9,11.707663536071777,8.113861083984375,17.893552780151367
mig,0.9,26.864290237426758,13.553380966186523,162.73975372314453
mps-uncap,1.0,26.634931564331055,22.882699966430664,18.594741821289062
mig,1.0,426.18346214294434,89.68174457550049,2727.86283493042
mps-uncap,1.1,498.0041980743408,2956.0484886169434,18.904447555541992
mig,1.1,3480.165719985962,3210.69073677063,5713.212013244629
mps-uncap,1.2,3563.7598037719727,6343.923091888428,19.344568252563477
mig,1.2,6429.825067520142,5619.2309856414795,6097.523212432861
mps-uncap,1.3,9978.612899780273,11678.76672744751,22.387981414794922
mig,1.3,9100.052237510681,9070.194482803345,10533.061504364014
