mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,78.48334312438965,25.3903865814209,50.74167251586914
mig,0.6,43.244123458862305,32.979726791381836,328.8233280181885
mps-uncap,0.7,74.64742660522461,40.184974670410156,40.174007415771484
mig,0.7,84.85651016235352,43.564796447753906,261.11602783203125
mps-uncap,0.8,122.31254577636719,79.99467849731445,73.10724258422852
mig,0.8,126.71351432800293,57.468414306640625,510.5106830596924
mps-uncap,0.9,146.89207077026367,90.47412872314453,58.413028717041016
mig,0.9,166.20779037475586,266.48974418640137,770.4002857208252
mps-uncap,1.0,255.68652153015137,284.5585346221924,85.04819869995117
mig,1.0,1337.1167182922363,1412.5444889068604,4137.028455734253
mps-uncap,1.1,1128.312587738037,5053.393840789795,82.93581008911133
mig,1.1,7803.149461746216,7959.129333496094,9441.956996917725
mps-uncap,1.2,7538.769245147705,12977.93459892273,88.52100372314453
mig,1.2,13730.302333831787,13007.853746414185,12200.733661651611
mps-uncap,1.3,19526.026010513306,21965.576171875,81.78830146789551
mig,1.3,20209.625005722046,20689.104318618774,22281.76975250244
