mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,3.0679702758789062,1.5003681182861328,11.825323104858398
mig,0.6,6.806850433349609,3.4668445587158203,40.03477096557617
mps-uncap,0.7,3.0655860900878906,1.4896392822265625,11.75832748413086
mig,0.7,6.805658340454102,3.4677982330322266,40.2069091796875
mps-uncap,0.8,3.097057342529297,1.5408992767333984,11.826276779174805
mig,0.8,6.793498992919922,3.464221954345703,40.28463363647461
mps-uncap,0.9,3.1092166900634766,1.4927387237548828,11.872291564941406
mig,0.9,6.851673126220703,3.494739532470703,40.41934013366699
mps-uncap,1.0,3.1185150146484375,1.558542251586914,12.008190155029297
mig,1.0,6.845235824584961,3.6363601684570312,40.497541427612305
mps-uncap,1.1,3.0965805053710938,1.7061233520507812,13.875722885131836
mig,1.1,6.864070892333984,3.629446029663086,40.50922393798828
mps-uncap,1.2,3.190755844116211,1.7070770263671875,14.352560043334961
mig,1.2,6.86335563659668,3.6308765411376953,40.67850112915039
mps-uncap,1.3,3.401041030883789,1.7561912536621094,16.17741584777832
mig,1.3,6.866216659545898,3.6416053771972656,40.91930389404297
