mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,3.9098262786865234,2.373337745666504,15.59913158416748
mig,0.6,6.987333297729492,3.7581920623779297,40.86422920227051
mps-uncap,0.7,4.099845886230469,2.585172653198242,16.19577407836914
mig,0.7,7.033586502075195,3.7893056869506836,41.14663600921631
mps-uncap,0.8,4.480600357055664,2.773761749267578,16.94178581237793
mig,0.8,7.123231887817383,3.8390159606933594,41.57280921936035
mps-uncap,0.9,4.644989967346191,2.8694868087768555,17.387866973876953
mig,0.9,7.258415222167969,3.910064697265625,42.19698905944824
mps-uncap,1.0,4.8542022705078125,3.043651580810547,17.93956756591797
mig,1.0,7.3490142822265625,3.985762596130371,42.690277099609375
mps-uncap,1.1,4.96363639831543,3.200054168701172,18.12911033630371
mig,1.1,7.3670148849487305,3.992319107055664,42.71841049194336
mps-uncap,1.2,4.992246627807617,3.235936164855957,18.19741725921631
mig,1.2,7.361173629760742,3.995180130004883,42.70946979522705
mps-uncap,1.3,5.064725875854492,3.3257007598876953,18.261432647705078
mig,1.3,7.358074188232422,3.9746761322021484,42.69838333129883
