mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,81.95948600769043,31.94427490234375,68.01986694335938
mig,0.6,50.51851272583008,38.094282150268555,371.7787265777588
mps-uncap,0.7,80.4910659790039,44.18611526489258,58.07375907897949
mig,0.7,92.29302406311035,48.48599433898926,303.6036491394043
mps-uncap,0.8,128.74698638916016,85.73031425476074,92.03767776489258
mig,0.8,134.6895694732666,61.48266792297363,552.4170398712158
mps-uncap,0.9,153.20491790771484,94.99621391296387,76.48539543151855
mig,0.9,173.4941005706787,270.3084945678711,812.5870227813721
mps-uncap,1.0,269.80018615722656,290.06147384643555,103.31320762634277
mig,1.0,1344.5353507995605,1417.4127578735352,4181.013345718384
mps-uncap,1.1,1137.2127532958984,5056.225776672363,101.50933265686035
mig,1.1,7810.481786727905,7963.238477706909,9484.701156616211
mps-uncap,1.2,7548.555850982666,12983.227014541626,106.92524909973145
mig,1.2,13737.648487091064,13012.342929840088,12243.734359741211
mps-uncap,1.3,19530.718088150024,21969.2120552063,99.92790222167969
mig,1.3,20219.655752182007,20692.992210388184,22324.448823928833
