mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,14.227633476257326,9.611949920654299,20.580904483795166
mig,0.6,8.482313156127928,6.555290222167968,44.18782711029053
mps-uncap,0.7,14.47025775909423,9.822945594787592,20.542726516723633
mig,0.7,8.368954658508294,6.506228446960449,44.48885440826417
mps-uncap,0.8,15.040178298950192,10.075559616088867,20.772054195404056
mig,0.8,8.42985630035401,6.53895378112793,44.49813365936279
mps-uncap,0.9,15.203485488891602,10.115301609039292,20.972256660461422
mig,0.9,8.45541000366211,6.431007385253907,44.950861930847175
mps-uncap,1.0,15.510380268096924,10.257663726806657,21.075291633605957
mig,1.0,8.197479248046875,5.856029987335206,44.99363899230956
mps-uncap,1.1,15.688016414642334,10.451869964599611,20.593919754028335
mig,1.1,8.037362098693848,5.310530662536621,44.52030658721924
mps-uncap,1.2,15.705757141113281,10.447809696197512,20.54659128189086
mig,1.2,8.040189743041992,5.320549011230469,44.668402671813965
mps-uncap,1.3,15.90129852294922,10.583791732788086,20.461969375610344
mig,1.3,8.551890850067139,6.310391426086437,45.471174716949456
