mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,320.7628453862714,2284.1113187389547,218.75136151997384
mig,0.6,310.9680985171859,2264.0696342432207,234.78137235084665
mps-uncap,0.7,377.804667389247,2667.139439800741,251.10754869481786
mig,0.7,370.73219832945574,2701.4544791239755,251.79729347500384
mps-uncap,0.8,432.0619850836929,3176.233993323499,310.73738712245483
mig,0.8,427.0533349983255,3027.124347315272,301.74431184576457
mps-uncap,0.9,496.55395681145455,3481.7650691883564,321.64870331623723
mig,0.9,485.7977672970752,3434.5862036934336,340.5504967803132
mps-uncap,1.0,541.4481078702387,3854.04555069589,363.18273538990354
mig,1.0,536.172263907894,3790.1549950936414,370.5927037926431
mps-uncap,1.1,592.8421578577248,4013.0260507316398,395.81291755424695
mig,1.1,539.2163225539053,3896.583761281115,373.3915196921883
mps-uncap,1.2,579.1954206628712,3915.9585578576484,419.8714379979748
mig,1.2,539.6651622166464,3888.835918606522,373.5692978673907
mps-uncap,1.3,545.0276955458676,3721.531779362516,474.841431655686
mig,1.3,536.9530421760109,3848.5214385274885,372.97776740321433
