mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,14.285039901733402,10.060715675354011,26.38826370239259
mig,0.6,19.820213317871094,12.58535385131836,121.45998477935792
mps-uncap,0.7,18.48258972167969,12.627601623535156,28.192782402038574
mig,0.7,26.756262779235843,16.638827323913574,137.63170242309573
mps-uncap,0.8,30.17840385437012,22.51715660095215,33.03060531616211
mig,0.8,39.49728012084962,21.2374210357666,245.12948989868164
mps-uncap,0.9,43.17975044250497,31.666302680969245,33.1592082977295
mig,0.9,78.08580398559576,51.25546455383301,517.5233840942384
mps-uncap,1.0,99.7689962387085,124.27649497985846,35.985374450683594
mig,1.0,1147.245979309082,1041.1216497421265,3476.0138988494873
mps-uncap,1.1,879.1878700256348,4705.082273483277,40.9022808074951
mig,1.1,6664.245414733889,7330.964517593384,8687.03351020813
mps-uncap,1.2,7239.340496063232,11880.45477867127,46.861934661865234
mig,1.2,12358.572721481323,12030.213642120361,10945.858550071718
mps-uncap,1.3,17117.244720458984,19343.212127685547,50.325870513916016
mig,1.3,18397.5599527359,18576.64053440094,19401.48301124573
