mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,30.607151985168482,20.09210586547852,41.299312114715576
mig,0.6,34.80715751647945,25.284125804901116,262.45626449585023
mps-uncap,0.7,38.09603214263904,24.79376316070554,44.67205524444577
mig,0.7,62.27091550827006,31.38096332550047,227.34183311462436
mps-uncap,0.8,70.68996429443357,50.832271575927734,51.98985338211064
mig,0.8,77.37552642822278,43.56099128723148,431.2419414520263
mps-uncap,0.9,100.24486541748048,59.29626226425166,55.1611042022705
mig,0.9,133.08584213256836,195.44916152954144,718.5005712509158
mps-uncap,1.0,177.6891469955444,258.18606853485164,68.72420310974111
mig,1.0,1287.0179271698,1332.7623653411868,4091.3802623748775
mps-uncap,1.1,1073.5639739036558,4986.59912109375,65.26436805725099
mig,1.1,7653.865218162537,7908.057284355164,9210.529861450195
mps-uncap,1.2,7469.312648773193,12790.488522052765,78.6301255226133
mig,1.2,13609.645247459412,12898.74011993408,11890.384187698362
mps-uncap,1.3,19249.93908882141,21639.464759826664,79.07555103301999
mig,1.3,19972.72035598755,20504.525940418243,22161.48696899414
