mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,7.735395431518556,5.878639221191407,9.911990165710458
mig,0.6,12.738704681396484,8.424758911132809,79.76105213165287
mps-uncap,0.7,11.797189712524418,8.502769470214846,11.455583572387697
mig,0.7,19.625949859619144,12.548184394836426,96.33822441101076
mps-uncap,0.8,22.84507751464844,18.208217620849613,15.590238571166992
mig,0.8,32.15737342834475,17.170143127441406,202.90429592132566
mps-uncap,0.9,36.48428916931154,27.644705772399902,15.28940200805664
mig,0.9,70.71390151977542,46.89335823059082,474.4288444519044
mps-uncap,1.0,92.88036823272705,120.43576240539551,17.716217041015625
mig,1.0,1139.8407936096194,1036.843514442444,3433.0880641937256
mps-uncap,1.1,873.4846353530884,4701.598501205444,22.27373123168945
mig,1.1,6656.803321838381,7326.923990249634,8644.324731826782
mps-uncap,1.2,7232.684278488159,11873.301768302921,28.046131134033203
mig,1.2,12351.266384124756,12026.295948028564,10902.709412574768
mps-uncap,1.3,17110.03890037537,19338.36431503296,31.95796012878418
mig,1.3,18390.26713371277,18572.728395462036,19358.002090454105
