mode,load,0_densenet169-16,1_inception_v3-8,2_resnet50-4
mps-uncap,0.8,253.06200981140137,412.8859043121338,171.76365852355957
mps-uncap,0.9,520.867109298706,158.674955368042,2058.882713317871
mps-uncap,1.0,1795.9585189819336,6047.536611557007,9148.369550704956
mps-uncap,0.5,71.02012634277344,74.79333877563477,37.06622123718262
mps-uncap,0.6,102.77938842773438,60.05668640136719,42.15693473815918
mps-uncap,0.7,162.1377468109131,80.04212379455566,56.44965171813965
mps-uncap,0.1,28.957366943359375,34.859418869018555,18.919944763183594
mps-uncap,0.2,38.36989402770996,34.81602668762207,28.44381332397461
mps-uncap,0.3,38.60831260681152,35.55750846862793,39.312124252319336
mps-uncap,0.4,49.1945743560791,36.62991523742676,29.504776000976562
