mode,load,0_densenet169-16,1_inception_v3-8,2_resnet50-4
mps-uncap,0.8,632.6608855590162,578.6510617261241,585.5204902252892
mps-uncap,0.9,690.1280712074879,655.1691092532138,642.4153920099084
mps-uncap,1.0,764.6636076647779,654.3203422151569,609.6759913213176
mps-uncap,0.5,390.46573170260154,352.4285557086497,355.18403218696244
mps-uncap,0.6,451.2422562956825,419.73028878851585,433.12570233524707
mps-uncap,0.7,514.4824559916271,492.0473915381613,503.80710568093605
mps-uncap,0.1,79.85957050252983,73.42806875523154,73.24076867021579
mps-uncap,0.2,155.30722412082358,150.34988463288744,148.06459893927885
mps-uncap,0.3,237.35063389253847,217.0718165937078,219.53051159759147
mps-uncap,0.4,312.52860046261105,288.93733219639785,285.8433220860409
