mode,load,0_densenet169-16,1_inception_v3-8,2_resnet50-4
mps-uncap,0.8,28.956890106201172,21.524667739868164,15.013694763183594
mps-uncap,0.9,26.5047550201416,14.808893203735352,11.619091033935547
mps-uncap,1.0,29.976367950439453,24.171829223632812,18.643617630004883
mps-uncap,0.5,26.424884796142578,16.53146743774414,16.863584518432617
mps-uncap,0.6,35.07804870605469,21.912813186645508,11.055231094360352
mps-uncap,0.7,30.359983444213867,19.35291290283203,12.528181076049805
mps-uncap,0.1,33.489227294921875,24.474143981933594,19.676923751831055
mps-uncap,0.2,34.380197525024414,21.433353424072266,16.419172286987305
mps-uncap,0.3,31.085729598999023,23.143291473388672,16.712665557861328
mps-uncap,0.4,26.62038803100586,17.499208450317383,11.264324188232422
