mode,load,0_densenet161-16,1_densenet161-16,2_densenet161-16,3_densenet161-16
mig,0.1,50.400495529174805,50.73046684265137,50.713300704956055,98.19722175598145
mig,0.2,50.42243003845215,50.69422721862793,50.681114196777344,98.20032119750977
mig,0.3,50.423383712768555,50.722360610961914,50.66943168640137,98.23036193847656
mig,0.4,50.38928985595703,50.6443977355957,50.64558982849121,98.2215404510498
mig,0.5,50.385475158691406,50.64558982849121,50.65631866455078,98.13499450683594
mig,0.6,50.36640167236328,50.69422721862793,50.68087577819824,98.20270538330078
mig,0.7,50.39834976196289,50.69541931152344,50.66561698913574,98.19865226745605
mig,0.8,50.4002571105957,50.66108703613281,50.66490173339844,98.20151329040527
mig,0.9,50.39668083190918,50.67849159240723,50.664663314819336,98.16837310791016
mig,1.0,50.44746398925781,50.72736740112305,50.71377754211426,98.3588695526123
