mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,7.1506500244140625,2.5401353836059575,9.17658805847168
mig,0.6,11.198949813842773,1.8045902252197266,8.066296577453613
mps-uncap,0.7,7.221460342407227,2.742409706115728,9.69085693359375
mig,0.7,11.12072467803955,1.7719268798828125,7.98954963684082
mps-uncap,0.8,7.253408432006836,2.920961380004888,10.568428039550783
mig,0.8,11.087870597839355,1.6932487487792969,7.905483245849609
mps-uncap,0.9,7.108712196350098,3.0571460723876966,11.202931404113771
mig,0.9,10.946416854858398,1.6276836395263672,7.756948471069336
mps-uncap,1.0,6.919670104980469,3.1926631927490234,11.658215522766113
mig,1.0,10.821819305419922,1.6052722930908203,7.547616958618164
mps-uncap,1.1,6.813478469848633,3.0105113983154297,13.70844841003418
mig,1.1,10.775566101074219,1.6057491302490234,7.492470741271973
mps-uncap,1.2,6.894326210021973,3.45611572265625,12.148189544677734
mig,1.2,10.77883243560791,1.604318618774414,7.491207122802734
mps-uncap,1.3,6.875014305114746,3.598713874816894,12.433934211730957
mig,1.3,10.937213897705078,1.6231536865234375,7.68871307373047
