mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,32.51934051513672,26.070833206176758,58.07185173034668
mig,0.6,101.74846649169922,17.954349517822266,51.84507369995117
mps-uncap,0.7,43.15972328186035,39.00718688964844,87.18180656433105
mig,0.7,99.53951835632324,18.68891716003418,77.80194282531738
mps-uncap,0.8,41.028499603271484,77.34942436218262,109.93766784667969
mig,0.8,151.4265537261963,39.56127166748047,133.8942050933838
mps-uncap,0.9,50.53853988647461,114.57276344299316,154.27470207214355
mig,0.9,207.33094215393066,62.981367111206055,345.5514907836914
mps-uncap,1.0,65.5980110168457,1379.0624141693115,410.7341766357422
mig,1.0,1315.6366348266602,467.6532745361328,1206.0177326202393
mps-uncap,1.1,73.05455207824707,4515.540361404419,13996.677875518799
mig,1.1,8227.265357971191,6441.445112228394,7932.6512813568115
mps-uncap,1.2,111.8464469909668,23606.643676757812,20078.783750534058
mig,1.2,15192.530393600464,12286.354303359985,14236.952066421509
mps-uncap,1.3,104.05659675598145,33218.082427978516,32088.89651298523
mig,1.3,20904.103755950928,18213.173866271973,20404.932975769043
