mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,8.644342422485352,4.2748975753784215,12.094945907592773
mig,0.6,12.216510772705078,2.2737717628479004,8.960914611816406
mps-uncap,0.7,8.584976196289062,4.378080368041992,12.286472320556626
mig,0.7,12.075242996215819,2.23325490951538,8.896036148071289
mps-uncap,0.8,8.70436668395996,4.4034671783447275,12.637083530426029
mig,0.8,12.056701183319092,2.1800994873046875,8.888311386108398
mps-uncap,0.9,8.518083095550537,4.325730800628662,12.719831466674805
mig,0.9,12.001726627349854,2.0816493034362793,8.842351436614994
mps-uncap,1.0,7.695131301879884,4.270284175872804,12.787399291992188
mig,1.0,11.552476882934572,1.889944076538086,8.24574947357178
mps-uncap,1.1,7.394313812255859,3.867850303649903,15.063180923461914
mig,1.1,11.427128314971922,1.8736815452575686,8.048870563507078
mps-uncap,1.2,7.476329803466797,4.348411560058593,12.994122505187987
mig,1.2,11.431109905242918,1.873016357421875,8.076944351196289
mps-uncap,1.3,7.474777698516845,4.359159469604489,13.145568370819086
mig,1.3,12.09350347518921,1.9764280319213863,8.823039531707758
