mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,4.858493804931641,0.7188320159912109,3.3364295959472656
mig,0.6,9.895086288452148,1.3904571533203125,6.631612777709961
mps-uncap,0.7,4.901409149169922,0.7178783416748047,3.409147262573242
mig,0.7,9.813547134399414,1.3971328735351562,6.584405899047852
mps-uncap,0.8,4.90260124206543,0.7123947143554688,3.429889678955078
mig,0.8,9.837865829467773,1.3921260833740234,6.590843200683594
mps-uncap,0.9,4.915475845336914,0.7131099700927734,3.359556198120117
mig,0.9,9.906291961669922,1.4050006866455078,6.62994384765625
mps-uncap,1.0,4.963397979736328,0.7159709930419922,3.3740997314453125
mig,1.0,9.923696517944336,1.4171600341796875,6.663084030151367
mps-uncap,1.1,5.483865737915039,0.7262229919433594,3.3597946166992188
mig,1.1,9.931564331054688,1.4278888702392578,6.715297698974609
mps-uncap,1.2,5.776882171630859,0.7448196411132812,3.433704376220703
mig,1.2,9.950637817382812,1.4274120330810547,6.7119598388671875
mps-uncap,1.3,5.745649337768555,0.7410049438476562,3.637075424194336
mig,1.3,9.973526000976562,1.4276504516601562,6.718158721923828
