mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,458.86463343169845,768.5375536719008,646.5669466557382
mig,0.6,452.2352710397336,758.6615394791372,673.1214703758369
mps-uncap,0.7,528.5215487824281,874.1619270767724,764.1889516784016
mig,0.7,524.9375967072099,862.5811527676443,770.8065419953961
mps-uncap,0.8,601.4983968065351,1020.6712930485337,889.394253778793
mig,0.8,590.8583316784423,1004.7172186773553,887.5481141425041
mps-uncap,0.9,677.1835045681493,1128.6974542827863,976.4208916014776
mig,0.9,669.5486115716328,1122.0801954058497,989.0833245852126
mps-uncap,1.0,756.3486592760271,1270.3249664004622,1088.006966724561
mig,1.0,757.9024064204378,1241.6242970964965,1086.4026763371992
mps-uncap,1.1,804.478251064648,1309.2350931260967,1040.65153746842
mig,1.1,763.2613400504376,1302.8503336480208,1117.1260547365473
mps-uncap,1.2,893.7795807678535,1117.218396015252,1020.0681901732236
mig,1.2,763.6457788984072,1303.0678816797076,1117.6216141728755
mps-uncap,1.3,982.639921030517,1015.8618987364245,914.7091255548138
mig,1.3,760.6338112728074,1294.3404118012795,1109.6035143597464
