mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,6.550312042236328,1.5904903411865234,6.85572624206543
mig,0.6,14.223337173461914,2.172231674194336,10.253548622131348
mps-uncap,0.7,6.803274154663086,1.9521713256835938,7.6514482498168945
mig,0.7,17.000198364257812,2.4421215057373047,11.910438537597656
mps-uncap,0.8,7.282495498657227,3.2358169555664062,9.880542755126953
mig,0.8,20.99740505218506,3.0677318572998047,15.142440795898438
mps-uncap,0.9,7.941007614135742,6.374835968017578,14.759063720703125
mig,0.9,35.26604175567627,4.660487174987793,27.19581127166748
mps-uncap,1.0,9.331941604614258,156.52084350585938,55.887818336486816
mig,1.0,610.7053756713867,13.005733489990234,147.0714807510376
mps-uncap,1.1,10.153532028198242,2510.9269618988037,6937.107086181641
mig,1.1,4478.260278701782,2661.7807149887085,3898.002028465271
mps-uncap,1.2,11.921286582946777,12954.82587814331,10770.095348358154
mig,1.2,6517.252683639526,5602.260589599609,6659.173965454102
mps-uncap,1.3,16.263961791992188,17133.61406326294,16435.85443496704
mig,1.3,10382.984161376953,8214.559555053711,9380.597472190857
