mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,12.757301330566406,14.808177947998047,15.045642852783203
mig,0.6,20.617961883544922,15.002965927124023,19.315481185913086
mps-uncap,0.7,10.437250137329102,10.927915573120117,15.586376190185547
mig,0.7,12.949705123901367,12.717247009277344,9.87863540649414
mps-uncap,0.8,15.32435417175293,17.911911010742188,16.976118087768555
mig,0.8,13.768672943115234,16.391277313232422,10.781526565551758
mps-uncap,0.9,9.989500045776367,13.4735107421875,15.670537948608398
mig,0.9,19.505023956298828,12.133121490478516,21.190404891967773
mps-uncap,1.0,10.33639907836914,9.185552597045898,16.45040512084961
mig,1.0,20.09439468383789,15.018224716186523,22.11308479309082
mps-uncap,1.1,20.563840866088867,14.279842376708984,17.0440673828125
mig,1.1,20.033597946166992,11.87896728515625,21.7282772064209
mps-uncap,1.2,21.7745304107666,18.99409294128418,16.302108764648438
mig,1.2,19.25969123840332,14.755725860595703,21.483659744262695
mps-uncap,1.3,13.672590255737305,20.802974700927734,21.422147750854492
mig,1.3,21.25406265258789,16.163349151611328,20.790576934814453
