mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,4.911184310913086,0.7421970367431641,3.378629684448242
mig,0.6,9.913206100463867,1.4238357543945312,6.66046142578125
mps-uncap,0.7,4.929065704345703,0.7429122924804688,3.441333770751953
mig,0.7,9.862184524536133,1.4145374298095703,6.601810455322266
mps-uncap,0.8,4.920005798339844,0.7343292236328125,3.467082977294922
mig,0.8,9.898900985717773,1.4269351959228516,6.606340408325195
mps-uncap,0.9,4.941463470458984,0.7383823394775391,3.393411636352539
mig,0.9,9.921550750732422,1.4274120330810547,6.664752960205078
mps-uncap,1.0,4.981756210327148,0.74005126953125,3.4177303314208984
mig,1.0,9.968280792236328,1.434326171875,6.680011749267578
mps-uncap,1.1,5.501747131347656,0.7488727569580078,3.576517105102539
mig,1.1,9.945869445800781,1.4603137969970703,6.7386627197265625
mps-uncap,1.2,5.847454071044922,0.8504390716552734,12.526273727416992
mig,1.2,10.210275650024414,1.4641284942626953,6.767034530639648
mps-uncap,1.3,5.918025970458984,1.373291015625,12.277364730834961
mig,1.3,9.990930557250977,1.4569759368896484,6.744384765625
