mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,14.986753463745117,10.082786083221448,19.871940612792955
mig,0.6,50.445861816406385,7.443985939025878,32.57313966751102
mps-uncap,0.7,16.92795753479004,14.782235622406061,29.011034965515123
mig,0.7,55.64870357513423,9.224071502685547,39.579544067382805
mps-uncap,0.8,18.66542816162106,33.44316482543971,57.97377586364761
mig,0.8,81.42068624496464,16.302156448364194,68.81339073181151
mps-uncap,0.9,26.451694965362545,72.7925705909729,96.1172986030576
mig,0.9,147.07633256912243,35.95771074295042,247.29729652404836
mps-uncap,1.0,28.713169097900607,1313.8684725761414,298.8612580299377
mig,1.0,1226.313972473145,426.6297435760495,1144.4803738594055
mps-uncap,1.1,38.288521766662335,4466.343400478363,13959.597563743591
mig,1.1,8169.90259885788,6374.1650104522705,7868.081724643707
mps-uncap,1.2,55.33642768859856,23223.819160461426,19638.81891727447
mig,1.2,15049.0829372406,12195.940246582031,14158.728506565094
mps-uncap,1.3,61.60528659820556,32874.667332172394,31709.227900505066
mig,1.3,20587.86890745163,18022.564935684204,20204.964740276333
