mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,26.06034278869629,25.110244750976562,51.984310150146484
mig,0.6,91.78996086120605,16.368627548217773,45.10927200317383
mps-uncap,0.7,36.65971755981445,36.78488731384277,79.44226264953613
mig,0.7,89.46371078491211,17.246484756469727,70.3589916229248
mps-uncap,0.8,34.64698791503906,76.14469528198242,99.88546371459961
mig,0.8,141.03317260742188,37.93835639953613,127.16364860534668
mps-uncap,0.9,44.05999183654785,112.72120475769043,146.06428146362305
mig,0.9,196.95734977722168,61.28358840942383,337.8756046295166
mps-uncap,1.0,58.91609191894531,1378.1287670135498,406.233549118042
mig,1.0,1305.2647113800049,466.16339683532715,1198.946475982666
mps-uncap,1.1,66.4219856262207,4513.812065124512,13992.087364196777
mig,1.1,8216.875553131104,6439.539909362793,7925.581216812134
mps-uncap,1.2,105.12661933898926,23591.49432182312,20074.61714744568
mig,1.2,15182.082176208496,12284.854888916016,14229.547500610352
mps-uncap,1.3,97.62001037597656,33203.659772872925,32079.317569732666
mig,1.3,20893.614053726196,18197.01051712036,20397.9651927948
