mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,21.53468132019043,11.929368972778333,27.805309295654236
mig,0.6,60.573768615722685,9.054539203643793,40.146613121032736
mps-uncap,0.7,23.421525955200195,16.544384956359934,36.28855228424065
mig,0.7,66.31694793701165,10.809130668640137,46.85214042663574
mps-uncap,0.8,25.343036651611328,35.347099304199396,64.12116527557384
mig,0.8,91.75399780273439,17.860708236694233,76.09267711639403
mps-uncap,0.9,32.92426347732542,74.35727596282959,101.70349836349486
mig,0.9,157.42729902267467,37.623744010925286,254.7617316246037
mps-uncap,1.0,35.27908802032475,1315.8121466636658,306.5552639961242
mig,1.0,1236.7643833160405,428.35724830627424,1151.6413998603823
mps-uncap,1.1,44.72858905792211,4467.811801433563,13966.717524528503
mig,1.1,8180.455446243286,6375.659012794495,7875.218753814697
mps-uncap,1.2,61.984677314758116,23226.533088684082,19650.901184082028
mig,1.2,15059.49536561966,12197.447609901428,14165.76014995575
mps-uncap,1.3,68.26659917831417,32876.00068330765,31713.74585390091
mig,1.3,20599.249427318577,18024.252429008484,20213.09717416763
