mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,0.013113021850585938,0.010728836059570312,0.011444091796875
mig,0.6,0.011444091796875,0.010728836059570312,0.011205673217773438
mps-uncap,0.7,0.011920928955078125,0.010728836059570312,0.012159347534179688
mig,0.7,0.011920928955078125,0.011205673217773438,0.0133514404296875
mps-uncap,0.8,0.011205673217773438,0.01049041748046875,0.011682510375976562
mig,0.8,0.012636184692382812,0.010967254638671875,0.012636184692382812
mps-uncap,0.9,0.011205673217773438,0.01049041748046875,0.011444091796875
mig,0.9,0.013113021850585938,0.010967254638671875,0.0133514404296875
mps-uncap,1.0,0.01239776611328125,0.01049041748046875,0.011682510375976562
mig,1.0,0.0133514404296875,0.010728836059570312,0.0133514404296875
mps-uncap,1.1,0.011444091796875,0.01239776611328125,0.013828277587890625
mig,1.1,0.01430511474609375,0.013828277587890625,0.01430511474609375
mps-uncap,1.2,0.011920928955078125,0.012636184692382812,0.017881393432617188
mig,1.2,0.017642974853515625,0.012874603271484375,0.0133514404296875
mps-uncap,1.3,0.011920928955078125,0.0133514404296875,0.018835067749023438
mig,1.3,0.0133514404296875,0.01239776611328125,0.015020370483398438
