mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,6.173372268676758,3.6735057830810556,8.419418334960938
mig,0.6,22.407484054565472,3.3953189849853516,16.722559928894043
mps-uncap,0.7,6.903409957885742,5.636072158813478,11.893773078918459
mig,0.7,28.011369705200185,4.222106933593754,20.015907287597656
mps-uncap,0.8,9.017705917358398,11.404943466186523,22.582888603210456
mig,0.8,46.01757526397705,6.364870071411132,31.64258003234864
mps-uncap,0.9,11.56623363494873,28.90491485595703,46.777081489563
mig,0.9,78.62234115600587,11.900329589843759,91.27891063690184
mps-uncap,1.0,14.26997184753418,1052.312970161438,184.3742609024048
mig,1.0,1119.4074153900146,228.01280021667483,765.029692649842
mps-uncap,1.1,17.360401153564453,4223.547816276551,12853.736591339111
mig,1.1,7956.9244384765625,5903.985834121704,7024.83024597168
mps-uncap,1.2,23.599433898925778,21397.288608551025,18211.935091018677
mig,1.2,13495.838975906372,11102.168345451355,13023.499155044556
mps-uncap,1.3,36.2865686416626,29870.56565284729,28660.139679908756
mig,1.3,18905.15923500061,16226.87187194824,18392.709946632385
