mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,0.6,12.65406608581543,5.417823791503906,14.593267440795898
mig,0.6,32.97004699707038,4.995918273925783,23.915886878967285
mps-uncap,0.7,13.56053352355957,7.4289321899414125,18.399596214294434
mig,0.7,38.52012157440184,5.796837806701661,27.219057083129886
mps-uncap,0.8,15.466403961181637,13.142824172973647,28.98430824279785
mig,0.8,56.22546672821045,7.940053939819336,38.83910179138185
mps-uncap,0.9,18.06619167327881,30.69643974304201,53.73675823211673
mig,0.9,88.94765377044679,13.448643684387209,98.36344718933105
mps-uncap,1.0,20.784044265747067,1053.7877798080447,191.76573753356934
mig,1.0,1130.0768852233887,229.55341339111328,773.0222225189224
mps-uncap,1.1,23.903894424438477,4225.229358673097,12860.834550857544
mig,1.1,7967.384219169617,5905.488204956055,7031.934189796448
mps-uncap,1.2,30.223965644836426,21399.123907089233,18219.074773788452
mig,1.2,13506.219625473022,11103.674864768982,13030.62527179718
mps-uncap,1.3,42.894577980041504,29872.23970890045,28672.533822059635
mig,1.3,18915.69335460663,16228.45048904419,18399.889159202576
