mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,22.946596145629883,30.078649520874023,32.21774101257324
mps-uncap,0.9,23.042678833007812,82.21292495727539,81.08162879943848
mps-uncap,1.0,75.27875900268555,358.6463928222656,148.94843101501465
mps-uncap,0.5,6.386518478393555,27.200698852539062,12.810230255126953
mps-uncap,0.6,9.613513946533203,26.069164276123047,11.723518371582031
mps-uncap,0.7,13.374090194702148,32.39583969116211,16.649961471557617
mps-uncap,0.1,2.2356510162353516,11.992454528808594,3.6334991455078125
mps-uncap,0.2,3.5660266876220703,16.881942749023438,4.471778869628906
mps-uncap,0.3,3.6673545837402344,21.462202072143555,5.915403366088867
mps-uncap,0.4,4.816770553588867,31.133413314819336,9.097814559936523
